Country,Source 1 ,Source 2,,,,,,,,,,,,,,,,,,,,,,,
Niger,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Niger,,,,,,,,,,,,,,,,,,,,,,,,
Nigeria,https://medicalxpress.com/news/2020-03-nigeria-coronavirus-death.html,,,,,,,,,,,,,,,,,,,,,,,,
North Macedonia,https://www.rferl.org/a/covid-19-north-macedonia-romania-set-curfews-serbia-extends-nighttime-restrictions/30502069.html,,,,,,,,,,,,,,,,,,,,,,,,
Norway,https://www.reuters.com/article/us-health-coronavirus-norway-casualties/first-person-dies-from-coronavirus-in-norway-pm-says-idUSKBN20Z37F,,,,,,,,,,,,,,,,,,,,,,,,
Oman,https://timesofoman.com/article/3005417/oman/oman-registers-first-coronavirus-death/,,,,,,,,,,,,,,,,,,,,,,,,
Pakistan,https://tribune.com.pk/story/2180094/1-sindh-reports-first-coronavirus-related-death,,,,,,,,,,,,,,,,,,,,,,,,
Panama,https://www.aa.com.tr/en/americas/panama-confirms-first-death-from-coronavirus/1761571,,,,,,,,,,,,,,,,,,,,,,,,
Papua New Guinea,No death till 16 May 2020,,,,,,,,,,,,,,,,,,,,,,,,
Paraguay,https://www.reuters.com/article/us-health-coronavirus-paraguay/paraguay-confirms-first-death-due-to-coronavirus-health-ministry-idUSKBN21801Q,,,,,,,,,,,,,,,,,,,,,,,,
Peru,https://www.aa.com.tr/en/latest-on-coronavirus-outbreak/peru-reports-first-death-from-novel-coronavirus/1772594,,,,,,,,,,,,,,,,,,,,,,,,
Philippines,https://www.bbc.com/news/world-asia-51345855,,,,,,,,,,,,,,,,,,,,,,,,
Poland,https://www.aa.com.tr/en/europe/poland-confirms-first-death-from-coronavirus/1763675,,,,,,,,,,,,,,,,,,,,,,,,
Portugal,https://www.aa.com.tr/en/europe/portugal-reports-1st-coronavirus-death/1768310,,,,,,,,,,,,,,,,,,,,,,,,
